document,metadata
"Brand: Skullcandy
Aspects: build, comfort, price, sound
Rating: 1.0
Importance Score: 14.92
Review: Garbage construction These are comfortable enough, and they sound great for the price. Unfortunately, that's where the good things end.<br /><br />These are quite possibly the worst constructed headphones I have ever had the misfortune of owning. In around 18 months of ownership, the ear cuff arms have broken no less than 5 times. This is absolutely unacceptable for any amount of money. The only reason I still have them is because I'm too lazy to go and find a good replacement. I would give them zero stars if I could.","{'type': 'review_evidence', 'brand': 'Skullcandy', 'aspects': ['build', 'comfort', 'price', 'sound'], 'parent_asin': 'B075749KHR'}"
"Brand: Audio-Technica
Aspects: build, comfort, connectivity, price
Rating: 2.0
Importance Score: 9.99
Review: Not worth the money Ultimately a great headphone, I wish I could it more stars. In fact, I have owned two of them now. My first pair lasted a year before the speaker blew out. My second one lasted 4 months before the speaker blew out. Sure I listen to loud music with them, but for money and the ""professional studio"" it should be able to handle what my Fiio player dishes out. So ultimately, buy something better or pay less and ultimately get same quality as these from something cheaper.  Their really just not worth the extra bucks.","{'type': 'review_evidence', 'brand': 'Audio-Technica', 'aspects': ['build', 'comfort', 'connectivity', 'price'], 'parent_asin': 'B0BD99CPHB'}"
"Brand: Skullcandy
Aspects: build
Rating: 1.0
Importance Score: 14.20
Review: it broke after 2 weeks, don't buy it broke after 2 weeks. it is really flimsy. don't buy","{'type': 'review_evidence', 'brand': 'Skullcandy', 'aspects': ['build'], 'parent_asin': 'B0BB5Y7SGC'}"
"Brand: Sony
Aspects: battery, build, connectivity, sound
Rating: 2.0
Importance Score: 11.65
Review: Big mistake My grandson got a pair of these and I really liked them so I bought a pair.  I think they may have been refurbished - they don't keep their charge as long as advertised - and when the battery is still medium they cut out or make noise.  For what I paid for them -- they should be a better quality.  Too late to return.","{'type': 'review_evidence', 'brand': 'Sony', 'aspects': ['battery', 'build', 'connectivity', 'sound'], 'parent_asin': 'B01MTEU2WE'}"
"Brand: Anker
Aspects: build, comfort, price, sound
Rating: 2.0
Importance Score: 10.04
Review: i wanted to like these but ... i wanted to like these as i do have alot of anker products that are fantastic, but the audio quality is awful, they dont stay put and i've tried every combo of the ear pieces they sent with it. i'll keep using them on runs but im already looking for a replacement.<br /><br />Edit: Anker reached out to me. Customer service was great and offered a different set (slim) that fit much better. Can't recommend the audio quality though. The slims are a good value, sound is ok for the price but nothing to brag about","{'type': 'review_evidence', 'brand': 'Anker', 'aspects': ['build', 'comfort', 'price', 'sound'], 'parent_asin': 'B019EZDT04'}"
"Brand: Sony
Aspects: anc, comfort, price, sound
Rating: 2.0
Importance Score: 9.73
Review: They are noise canceling but lack sound These headphones are pretty quiet in all the wrong ways.  I can't hear anything around me,  so they are noise canceling.  They fit amazing,  best fit of any headphone ever and are really comfortable.  It's too bad that they are so quiet. I have really cheap headphones which provide more sound.  I'm on the fence about returning them because they are so comfortable.","{'type': 'review_evidence', 'brand': 'Sony', 'aspects': ['anc', 'comfort', 'price', 'sound'], 'parent_asin': 'B088GJ1L5Z'}"
"Brand: Sony
Aspects: anc, comfort, connectivity, microphone, price, sound
Rating: 1.0
Importance Score: 40.46
Review: NOT an ""over-ear"" headphone... ""Over-ear"" is a very poorly chosen term because something ""over"" your ear might also be considered to be something ""on"" your ear and vice versa. The proper term that should have been established for use is ""around-ear"" or ""surround-ear"" and, in fact, Sennheiser uses the term ""around-ear"" on their website to describe their headphones which are otherwise listed with the ""over-ear"" misnomer.<br /><br />I wonder if the reason the term ""over-ear"" became the default term was because those who established it were not native English speakers who didn't realize the nuances. Or, perhaps, it was just some native English speaking idiot in marketing.<br /><br />Anyway, unlike the unambiguously named ""on-ear"" headphones, ""over-ear"" headphones are supposed to surround your ears with the pads resting on your skull and not on your ears.  With poorly designed versions of those, like some of those which use memory foam in the ear pads, sweating can be an issue.  With properly designed ones, it isn't.<br /><br />What characteristics are required for a proper ""over-ear,"" better called ""around-ear"" headphone?  These:<br /><br />1. The holes in the center of the headphone pads should be large enough for your ears to fit inside.<br />2. The headphone pads should be thick enough to completely raise the hard headphone driver (speaker) face away from your ears OR<br />3. A combination of adequate headphone pad thickness and a rearward sloping of the driver away from the head to prevent contact with the ears which, as you may have noticed, slope away from your head in the rearward direction.<br /><br />These headphones as well as a previous pair of a different brand that I bought at a similar price do not comply with any of those characteristics.  As a further insult, to make up for their too-thin ear pads, they're too rigid in order to reduce the amount they collapse.<br /><br />Have headphone manufacturers somehow forgotten those required characteristics over years?  No, I suspect they are simply cost cutting to compete with Chinese manufacturers and smaller headphones are more stylish and more easily stored for travel.<br /><br />They suffer little negative market reaction for doing this because most people apparently don't know what an ""over-ear"" headphone is supposed to be.  They put the headphones on and if they work, sound OK, and aren't immediately uncomfortable, give them positive reviews.  Also, some reviewers may have very small ears where the headphones actually do act as a ""surround-ear"" design although with this model and the previous one I also returned, I don't see that as being possible for anyone over 6 years old.","{'type': 'review_evidence', 'brand': 'Sony', 'aspects': ['anc', 'comfort', 'connectivity', 'microphone', 'price', 'sound'], 'parent_asin': 'B0768K1JZC'}"
"Brand: Skullcandy
Aspects: build, connectivity, sound
Rating: 2.0
Importance Score: 11.58
Review: (Was) Five Stars Update:<br />Welp. I thought I could baby them well enough, but they unknowingly broke while stowed as usual in my pack. Be VERY careful with these. Reducing to two stars based on amazingly poor durability.<br />---------<br /><br />They sound damn good for a pair of Bluetooth wireless headphones. Mine haven't broken yet so we shall see.","{'type': 'review_evidence', 'brand': 'Skullcandy', 'aspects': ['build', 'connectivity', 'sound'], 'parent_asin': 'B0756VVVF5'}"
"Brand: LG
Aspects: sound
Rating: 2.0
Importance Score: 9.11
Review: Two Stars Color I loved and sound..... Until it stopped working :(","{'type': 'review_evidence', 'brand': 'LG', 'aspects': ['sound'], 'parent_asin': 'B00D477YFA'}"
"Brand: Skullcandy
Aspects: connectivity
Rating: 2.0
Importance Score: 19.93
Review: Horrible range If I put my phone in my pants pocket and have my hand in the pocket as well, putting a barrier(my hand), and two feet of space between the headset and my phone, its too much! Maybe, if I refrain from putting my hand in my pocket, I might be able to get through a song without it acting like a discman that's being run with, vigorously. I've had good experiences with all my other skullcandy products but as my first break into Bluetooth, it's not great.","{'type': 'review_evidence', 'brand': 'Skullcandy', 'aspects': ['connectivity'], 'parent_asin': 'B0B37YMFK2'}"
"Brand: Bose
Aspects: build, sound
Rating: 1.0
Importance Score: 12.31
Review: Poor build quality Build quality is poor. Headphone volume control dissolves under normal use. Very disappointed cannot use it anymore for work outs a bit of sweat and headphones stop working.","{'type': 'review_evidence', 'brand': 'Bose', 'aspects': ['build', 'sound'], 'parent_asin': 'B0B62FJF1J'}"
"Brand: JVC
Aspects: battery, build, comfort
Rating: 1.0
Importance Score: 14.48
Review: Broken Wireless Earbuds 😒 Did not work when I received it, it would not charge and the USB cover was broke and would not close. Very disappointed in Amazon products, its hit or miss when you buy things here. Customer Service is the worst, nobody ever speaks good English.","{'type': 'review_evidence', 'brand': 'JVC', 'aspects': ['battery', 'build', 'comfort'], 'parent_asin': 'B076FCJ963'}"
"Brand: Sony
Aspects: comfort, sound
Rating: 2.0
Importance Score: 11.54
Review: The workout buzz killer The workout killer.  Bought these at the airport. Not moving they're okay.  Sound is good but im constantly pushing them back in my ear.  The controller box is too heavy so the left ear falls out during activity like breathing or walking. Running is not possible.  Waste of $50.","{'type': 'review_evidence', 'brand': 'Sony', 'aspects': ['comfort', 'sound'], 'parent_asin': 'B079GXN788'}"
"Brand: Bose
Aspects: battery, comfort, sound
Rating: 2.0
Importance Score: 9.93
Review: Nice sound and fit, but I got unlucky Maybe I was unlucky, but had several issues with this product: (1) headphone didn’t turn off, so battery life was pretty low; (2) volume button got stuck frequently and it would mute the headphone.<br /><br />I’ve tried force resetting a couple of times, didn’t solve the issue. Besides that, the product is amazing. I just think that when you get a $100 headset, it should be free of defects and I should not “fight” to make the product work, so I returned them","{'type': 'review_evidence', 'brand': 'Bose', 'aspects': ['battery', 'comfort', 'sound'], 'parent_asin': 'B0B62FJF1J'}"
"Brand: Bose
Aspects: build
Rating: 1.0
Importance Score: 12.18
Review: JUNK!!! These are absolute junk.  Not at all the Bose standard.  They broke within 30days.  DO NOT BUY!","{'type': 'review_evidence', 'brand': 'Bose', 'aspects': ['build'], 'parent_asin': 'B0B62FJF1J'}"
"Brand: Sony
Aspects: anc, comfort, sound
Rating: 1.0
Importance Score: 12.22
Review: Painful These are fine for music or listening to other things. But the noise cancelling causes very painful pressure inside my ears.","{'type': 'review_evidence', 'brand': 'Sony', 'aspects': ['anc', 'comfort', 'sound'], 'parent_asin': 'B088GJ1L5Z'}"
"Brand: Skullcandy
Aspects: battery, build
Rating: 1.0
Importance Score: 12.11
Review: Rip off. Broke after a week. Won't hold a charge","{'type': 'review_evidence', 'brand': 'Skullcandy', 'aspects': ['battery', 'build'], 'parent_asin': 'B08HTNLS6N'}"
"Brand: JVC
Aspects: battery, connectivity
Rating: 1.0
Importance Score: 12.16
Review: Junk After just one month these won’t charge or pair with Bluetooth, piece of junk.","{'type': 'review_evidence', 'brand': 'JVC', 'aspects': ['battery', 'connectivity'], 'parent_asin': 'B076FBTHMD'}"
"Brand: Skullcandy
Aspects: battery
Rating: 2.0
Importance Score: 11.25
Review: Battery life is terrible These dont hold a charge at all, have had to charge them each time i used them. I would not recommend.","{'type': 'review_evidence', 'brand': 'Skullcandy', 'aspects': ['battery'], 'parent_asin': 'B0B64YLMDX'}"
"Brand: Soundcore
Aspects: battery, microphone
Rating: 1.0
Importance Score: 14.13
Review: Don’t waste your time or money Battery life pitiful, product basically useless.","{'type': 'review_evidence', 'brand': 'Soundcore', 'aspects': ['battery', 'microphone'], 'parent_asin': 'B07NM44B48'}"
"Brand: Soundcore
Aspects: build, comfort, connectivity, price, sound
Rating: 1.0
Importance Score: 16.96
Review: Decent audio. Constant pairing problems This device is very disappointing. After using the Soundcore Sprit Pro, which is great, this is a total letdown. The audio quality is decent for the price. More importantly, it is so hard to pair. Every time I try connect my iPad I have to disable Bluetooth on my phone and remove and re-add this device in the iPad. It's a major pain, and I have to recommend against this product for this reason alone. If there is a solution to this, I'd love to hear about it.","{'type': 'review_evidence', 'brand': 'Soundcore', 'aspects': ['build', 'comfort', 'connectivity', 'price', 'sound'], 'parent_asin': 'B07NM44B48'}"
"Brand: Sony
Aspects: anc, comfort, price, sound
Rating: 2.0
Importance Score: 10.69
Review: Blah, disappointing I bought these to try out as a replacement for the Galaxy Buds Pro.<br />I tried these one and they fit fine.<br />They are comfy with no issue of staying in during workouts or walking, running, etc.<br />The app itself is loaded with features that are mostly useless and do not work.<br />The Google or Alexa AI would be great, if it worked.<br />The 360 audio wants to to subscribe to a service for it but does not work when playing a native 360 audio mp3 file. Also, the sound is sub par and mono.<br />There is no rich bass or bass sound. The bass is mid range and not deep.<br />I lacks the punch in sound that it should have for that price point.<br />Also, the noise canceling is fair, but not as good as other earbuds and not worth it.<br />Even with it on, I can still have a conversation, even though ambient sounds were off.<br />I would not purchase any of these ear buds.","{'type': 'review_evidence', 'brand': 'Sony', 'aspects': ['anc', 'comfort', 'price', 'sound'], 'parent_asin': 'B096WPKZNR'}"
"Brand: LG
Aspects: comfort, connectivity, microphone, sound
Rating: 1.0
Importance Score: 14.58
Review: LOVE the headphones, HATE the warranty replacement process. I LOVE these headphones, so convenient, clear sound, convenient for making phone call, it even reads you the texts you get to your phone. My only issue and it is a big one in my mind is their customer service when I had to send them in for warranty replacement (no longer synched to my bluetooth device). The LG website has live chat which I felt was very convenient and the first conversation went smoothly, I was impressed. There where it ended though. I sent them in and got an email with a link so that I could track the process from there. This link NEVER worked and I had started to think that I might have sent them out to the wrong place. After about two weeks of waiting (and daily live chats to find out what was happening), I was told they were going to be sent out the next day, but I would receive an email notification. Next day, no notification, and then two days later there is a note on my house door from Fedex. Fedex had tried to deliver and I wasn't there. Now I have them scheduled to deliver on Saturday, and I hope it all works out.<br /><br />Also, the headphones don't sync with Laptops (I have a Dell). I have researched the forums and talked to LG support, but it seems this is a known issue. So if you intend to use these exclusively with your lap top, don't bother.","{'type': 'review_evidence', 'brand': 'LG', 'aspects': ['comfort', 'connectivity', 'microphone', 'sound'], 'parent_asin': 'B00JMV89N8'}"
"Brand: SoundPEATS
Aspects: sound
Rating: 1.0
Importance Score: 15.23
Review: They are cool IF they actually work At first only one speaker worked. Then as soon as I got the 2nd one to work they both quit. When I plug in the 3.5mm plug the water starts bouncong around but no sound. Also I can plug the 3.5mm jack in the speaker and hold the other end in my hand and touch the plug and the water will start bouncing based on my touch. I really wish these worked cause they are really cool and when I did get them to work for a second the sound was decent. I purchased them for $17.99 and wanted to exchange them but there is no option too, now they are $25.99.","{'type': 'review_evidence', 'brand': 'SoundPEATS', 'aspects': ['sound'], 'parent_asin': 'B075NJLMR8'}"
"Brand: Sennheiser
Aspects: anc, battery
Rating: 2.0
Importance Score: 9.60
Review: Range unsatisfactory This is the 3rd set that I have bought.<br />1st one stopped charging.<br />2nd one stopped working because of a power surge.<br />This one is the 3rd and the range is only about 25ft. I am not satisfied with the performance. I’m at a lost because I have 3 sets of TR 135s they are working satisfactory.","{'type': 'review_evidence', 'brand': 'Sennheiser', 'aspects': ['anc', 'battery'], 'parent_asin': 'B00WUN9PE2'}"
"Brand: Skullcandy
Aspects: comfort, sound
Rating: 1.0
Importance Score: 18.25
Review: Don't waste your time These headphones were a HUGE disappointment. They didn't fit right, very uncomfortable, sound was NOT good, no isolation, etc.","{'type': 'review_evidence', 'brand': 'Skullcandy', 'aspects': ['comfort', 'sound'], 'parent_asin': 'B08HTNC8PJ'}"
"Brand: Bose
Aspects: anc, battery, build, connectivity, microphone, sound
Rating: 2.0
Importance Score: 16.87
Review: Terrible customer service I think Bose makes great products, usually.  I like their quality.  I've had good experiences, until now.  The product that arrived did not consistently connect to the Bluetooth in my mobile device and laptop.  After a few days of having to re-pair the Soundsport with my devices multiple times, while powering everything off and on again, I called Bose to troubleshoot.  They immediately said to ship them the headphones and they'd replace them.  (This tells me the problem is not unique, but common.)  I was told I'd receive the new ones in 2-3 days as a courtesy (usually 10 days), and that they did not need to receive my return before mailing out the new ones.  10 days later when I did not receive anything from Bose, I called and was told they were not in stock.  I'd not been contacted at all.  I then asked for a refund, which had to be issued through Amazon, where I bought them.<br />Now I'll decide if I want to take another chance on these headphones and purchase them again.","{'type': 'review_evidence', 'brand': 'Bose', 'aspects': ['anc', 'battery', 'build', 'connectivity', 'microphone', 'sound'], 'parent_asin': 'B0B62FJF1J'}"
"Brand: Sony
Aspects: battery, build, comfort, connectivity, microphone
Rating: 1.0
Importance Score: 18.24
Review: $300 for apair of headphones that died 3months I finally convinced myself to purchase some high end headphones. What a huge mistake. First they never speed charged at all. Such a dissaointment day one first time battery was low i did the 15min charge an nothing if i don’t charge a min 1-2hrs it wont play 10 min. I thought i was doing something wrong than about 2 months of use they started to charge randomly meaning i could charge them 3 hrs pick them up an hear battery low please charge than cut off. Some days it worked same port same charge cable.i started smelling electric burn in my office or so i thuaght untill i noticed the plastic around the headphone charge port was melted. Turns out it was the headphones. Other issues i could answer a call or atleast connect but if i wanted to actually speak to the caller i would have to scramble for my phone to switc call to headphone an atleast 50° of calls would hang up before i got there. So everycall was a phone scramble nightmare. Such a dissapointment. Im waiting to hear from sony support ive sent 3 messeges now. They had called me once but the headphones where on an the call dropped before i could switch over. Total dissapointment","{'type': 'review_evidence', 'brand': 'Sony', 'aspects': ['battery', 'build', 'comfort', 'connectivity', 'microphone'], 'parent_asin': 'B08DBDSVBC'}"
"Brand: Sony
Aspects: battery
Rating: 1.0
Importance Score: 16.29
Review: Piece of Junk Charged it up, listened to music until the battery ran down. Tried to charge and nothing. Will not come on or charge. Total waste of money.","{'type': 'review_evidence', 'brand': 'Sony', 'aspects': ['battery'], 'parent_asin': 'B088GJ1L5Z'}"
"Brand: Sony
Aspects: microphone
Rating: 2.0
Importance Score: 9.63
Review: Not for me First, I don't like that 99% of the instruction is dedicated to Apple devices. 1% of instruction is dedicated to instruction for Android .<br />The product assumes adept and experienced consumer and presents somewhat smugly for the young users.  Speaking from the perspective of a technologically challenged person, I would have been lost setting this up without input from teenagers.","{'type': 'review_evidence', 'brand': 'Sony', 'aspects': ['microphone'], 'parent_asin': 'B08DBDSVBC'}"
"Brand: Sennheiser
Aspects: battery, comfort, connectivity, sound
Rating: 1.0
Importance Score: 19.95
Review: Don't waste your money I have a pair of BeatsX that I wear to work everyday, and wanted a set for home as well. I thought the Sennheiser would be an upgrade, and while they are nice and sound great, they are truly awful earbuds. The huge thing that goes around your neck is ridiculous, and most annoying of all I wanted them for use on my computer and phone as I switch between the two throughout the evening, but they can't be used on one without completely turning off bluetooth on the other device. If you don't turn off the bluetooth on the other device they shout ""Disconnected"" in your ears every 15 seconds. Just buy the BeatsX, I have used those everyday for about a year now and they sound great, get 8 hours of use, and charge very fast. The new version of these only get 6 hours of battery life so I won't bother with those. Wish I had returned these and gotten a second pair of Beats. I'm back to using my wired earbuds when at home because I can't stand using these things.","{'type': 'review_evidence', 'brand': 'Sennheiser', 'aspects': ['battery', 'comfort', 'connectivity', 'sound'], 'parent_asin': 'B01MR84GHV'}"
"Brand: Soundcore
Aspects: build, price
Rating: 2.0
Importance Score: 9.24
Review: Not Ankers best Anker creates some very good products unfortunately, this is not one of them. Flimsy and quality is not good. Over priced","{'type': 'review_evidence', 'brand': 'Soundcore', 'aspects': ['build', 'price'], 'parent_asin': 'B08YN7QX1Q'}"
"Brand: SoundPEATS
Aspects: battery, build, comfort, connectivity, sound
Rating: 1.0
Importance Score: 14.02
Review: Great customer service but the product falls short UPDATE:<br />6 months after the company replaced my original pair, they were still working, but now a year later, the new pair has also died. The headphones won't hold a charge at all. It's unfortunate because I liked them but I can't replace them twice per year. Looking for another headphone company now.<br /><br />EDIT: Soundpeats replaced my headphones 6 months ago (which was the amount of time it took the original pair to die) and they are still going strong! I have recommended this brand to countless people looking for an affordable quality product. These stay in the ear no matter how sweaty or how much jumping around/running I do, they hold their charge for a good amount of time and they are easy to connect to your phone. I would buy these again and again!<br /><br />Originally I posted a review complaining the battery life began to suffer after 6 months of daily use. Soundpeats contacted me directly and replaced my headphones free of charge. I hope not to run into the battery problem again but I am very impressed with how quickly they reached out to correct the problem!","{'type': 'review_evidence', 'brand': 'SoundPEATS', 'aspects': ['battery', 'build', 'comfort', 'connectivity', 'sound'], 'parent_asin': 'B01K3ZR0RC'}"
"Brand: SoundPEATS
Aspects: build, sound
Rating: 1.0
Importance Score: 14.21
Review: Very bad sound quality Music has to be blasting to get the water to jump. Very bad sound quality; very tinny.","{'type': 'review_evidence', 'brand': 'SoundPEATS', 'aspects': ['build', 'sound'], 'parent_asin': 'B075NJLMR8'}"
"Brand: LG
Aspects: comfort, sound
Rating: 1.0
Importance Score: 12.36
Review: Earbuds break This is the second one that I have had that one of the headphones stops working after a small amount of use. It's a pain to only have sound out of one earbuds","{'type': 'review_evidence', 'brand': 'LG', 'aspects': ['comfort', 'sound'], 'parent_asin': 'B013J96QXS'}"
"Brand: Anker
Aspects: build, comfort, connectivity, sound
Rating: 1.0
Importance Score: 12.75
Review: Connection issues after couple months of light use Got these to replace my wired Bose and they were SO AWESOME the first couple months: great sound, stayed in ears and absolutely no connection issues.  Best I can say now is they stay in my ears; connection is SO SPOTTY that can't even tell if the sound quality is still good!  I finally just ordered another pair of wired earbuds. Don't waste your money","{'type': 'review_evidence', 'brand': 'Anker', 'aspects': ['build', 'comfort', 'connectivity', 'sound'], 'parent_asin': 'B07HFQLFWC'}"
"Brand: SoundPEATS
Aspects: connectivity
Rating: 1.0
Importance Score: 16.09
Review: Lost contact Mine will not connect at all anymore??","{'type': 'review_evidence', 'brand': 'SoundPEATS', 'aspects': ['connectivity'], 'parent_asin': 'B01K3ZR0RC'}"
"Brand: Sony
Aspects: build
Rating: 1.0
Importance Score: 12.24
Review: FAILED IN JUST 8 MONTHS - NORMAL USE THE THING JUST SNAPPED. normal use, nothing crazy, it just broke, and SONY refuses to cover it.","{'type': 'review_evidence', 'brand': 'Sony', 'aspects': ['build'], 'parent_asin': 'B08DBDSVBC'}"
"Brand: LG
Aspects: build, comfort, microphone, sound
Rating: 1.0
Importance Score: 13.61
Review: Very poor quality I had two of these units fail on me and have other quality problems.  In the first one, one of the speakers stopped working.  It was within the one year warranty period and I got a replacement.  The replacement caused more problems.  It would occasionally get into a mode where all speech (incoming and outgoing) was garbled.  Turning the unit off and back on fixed the problem.  The microphone picked up and amplified background noise so much that I had to stay completely still if I was talking to someone through the headset.  If I did anything that made any noise, the person on the other end could not speak to me because of the loud background noises.  Finally, and again, one of the ear pieces stopped working again.  I was going to contact LG warranty again, but the serial number on the unit, which was a sticker, seems to have fallen off.  What a waste of money...","{'type': 'review_evidence', 'brand': 'LG', 'aspects': ['build', 'comfort', 'microphone', 'sound'], 'parent_asin': 'B00MIBCC2S'}"
"Brand: Bose
Aspects: anc, comfort, sound
Rating: 1.0
Importance Score: 18.98
Review: Volume all the way up and can barely hear my music. I had High hopes for these but they just never panned out.  No matter how high the volume or how much I tried to custom fit the buds I could never get good volume and in fact my left ear specially could hardly hear anything.  I just couldn't get them to work for me so I purchased iPod Pro and what a difference.  Not only can I hear everything crisp and clear they have great noise canceling tech also. Sorry I wasted money on these Bose.","{'type': 'review_evidence', 'brand': 'Bose', 'aspects': ['anc', 'comfort', 'sound'], 'parent_asin': 'B0B62FJF1J'}"
"Brand: Skullcandy
Aspects: comfort, connectivity
Rating: 1.0
Importance Score: 12.36
Review: These are horrible, 2nd pair. Left ear always shorts out 2months after purchase..DON'T BUY!!! I'll never purchase these again,  the left ear always shorts out shortly after the return window closes.. So disappointing","{'type': 'review_evidence', 'brand': 'Skullcandy', 'aspects': ['comfort', 'connectivity'], 'parent_asin': 'B08HTNLS6N'}"
"Brand: Skullcandy
Aspects: battery, build, comfort, connectivity, sound
Rating: 1.0
Importance Score: 33.91
Review: Great Sound Quality, But Bug-Ridden Earbuds That Won't Hold a Charge The sound on these Bluetooth wireless earbuds is GREAT. However, I'm on my FOURTH pair now (after having returned the previous three to the retailer) because they break after only a month or so. They stop holding a charge. I've tried everything to find a hack for this problem and simply cannot. I try not to overcharge them. Yet, if you don't charge them enough, they won't work. I can't work out without music. I thought these wireless earbuds were the answer to my prayers in terms of being able to work out without holding my iPhone at the gym. I've since gone back to old-school earbuds with a wire because these Bluetooth earbuds are simply UNRELIABLE and bug-ridden. Unless someone can give me firm answers as to why this is happening, I stand by this negative review. Sorry Skullcandy. The only way I can get them to work is by plugging them into my laptop. So sad. I really love the sound quality of these Ink'd wireless earbuds.","{'type': 'review_evidence', 'brand': 'Skullcandy', 'aspects': ['battery', 'build', 'comfort', 'connectivity', 'sound'], 'parent_asin': 'B08HTNLS6N'}"
"Brand: Bose
Aspects: battery, comfort, connectivity, microphone, price
Rating: 1.0
Importance Score: 32.92
Review: Very Poor customer service defective product I get electronics can be defective how you resolve those defects is an entirely different thing. I called Amazon support to advise the Bose would not pair with my iPhone or iPad . I went through all the trouble shooting of their (Amazon) suggestions and nothing worked. A Amazon agent Shekiera F called Bose and she called me back on the phone and told me Bose would send a new head set out immediately at no cost and there was no need to return the defective set. This was around January 12, 2020. I called Amazon on 1/23/20 to ask the status of the Use head set and was told Shekiera F did not make notes from her call with Bose even though she sent me an email from the initial call to follow up with (EMAIL sent<br /> Amazon below (she of course didn't include the email after her return call with an update on what Bose told her about replacing my defective head setat no cost or return ) . I called Bose today nd was told by Mike (he claimed to have no employee Identifying number or any other information to identify him beyond Mike if Mike was really his name. He totally kicked the can back down the road and told me to contact Amazon. I had major throat surgery two days ago and conversations are very hard and music is helping me to escape while in silence however the defective one head set doesnt work so silence is my option. Amazon is sending a replacement out however I am unable to drive to return the defective part for two weeks and apparently no one at Amazon or Bose are concerned about these two charges sitting on my account until I can get a cleared doctors order to now have to dru=ive to a UPS store to return a product I was told didn't have to be returned. Customer service is the worst experience I have had with Amazon and Bose and I mean the worst with any of my dealings with customer service period.  Dont recommend the Bose because if you get a bad pair you go through a game of kick the can down the road<br /><br />Your Account Amazon.com<br />Message From Customer Service<br />Hello Mark,<br /><br />I was glad to assist you today with checking to see as to why your earbuds do not play music.<br /><br />As we discussed,here is the manufacturer contact number:<br />1-800-379-2073<br /><br />Here is the customer service agent for your warranty:<br />1-800-999- 2673<br />We look forward to seeing you again soon.<br />If you need troubleshooting help, look for Get Product Support in Your Orders. You can talk to an expert, get setup help, and more. Learn more<br /><br />We'd appreciate your feedback. Please use the buttons below to vote about your experience today.<br /><br />Best regards,<br />Shekiera F<br />Amazon Tech Support","{'type': 'review_evidence', 'brand': 'Bose', 'aspects': ['battery', 'comfort', 'connectivity', 'microphone', 'price'], 'parent_asin': 'B0B62FJF1J'}"
"Brand: LG
Aspects: anc, build, comfort, connectivity, microphone, sound
Rating: 2.0
Importance Score: 14.23
Review: Been putting this review off for awhile. Usually my reviews are very short and sweet but this is not one of those reviews sadly this will be my first actual negative review on an Amazon product.<br />So let me start of by saying for a solid 7 years now since music devices first started blowing up I've had earphones in my ears constantly playing the music I love. For those 7 years I've only used corded earphones, mainly skullcandys or gummies. This past year I saw everyone wearing these Bluetooth earphones so I told myself why not try it! I had grown tired of the cords of my earphones unplugging while I ran or catching on doorknobs or chairs as I got up or walked past them. So I proceeded to do my research online and asking people who had them all my research had came back positive so I proceeded with the purchase. I've had these Bluetooth earphones for about 6 months now and I absolutely hate them with a passion. I'll start of with the few positive aspects of this Bluetooth device. It is quite well made and durable I've given them a beating with the constantly working out sweating and running I do and still they continue working. They hardly ever fallout compared to my cord earphones so that a huge positive and the button interface is simple and easy to use.<br />That's all I have to say for positives.<br />Onto the negative side.<br />When I first purchased these the Bluetooth range was outstanding I was impressed now when my phones in my pockets and it moves around funny the music jumps or cracks making my ear drums bleed! I put my phone in a gym sleeve or athletic band whatever you want to call so I could run and the earphones basically cut out or crack again rupturing my eardrums rendering me unable to use the gym sleeve therefore making me hold my phone in my hand as I run which is incredibly infuriating. While we're on the subject of running these things flop all over the place on my neck like a chicken with its head cut off!!! Constantly hitting my collar bones and becoming unbalanced on either side so I'm constantly stuffing them back in my shirt or fixing them. This completely takes away my concentration from breathing correctly and my runners high. Then when I'm freaking trying to lift say for example doing flat bench situps or any type of exercise on my back these dam things fallout also yanking the earphones out embarrassing me because I forgot to stuff them into my shirt! Now the sound and clarity isn't to bad nor the bass but the volume levels are basically either super quiet to where it doesn't isolate anything or loud to wear you'll probably lose your hearing after continued use. I curse these dam things! Once these things break if they ever do I'll be going back to corded earphones or at the very least a non collar looking Bluetooth headset.","{'type': 'review_evidence', 'brand': 'LG', 'aspects': ['anc', 'build', 'comfort', 'connectivity', 'microphone', 'sound'], 'parent_asin': 'B00JMV89N8'}"
"Brand: Audio-Technica
Aspects: comfort, connectivity
Rating: 1.0
Importance Score: 12.80
Review: Good idea, Totally Crap Engineering, Zero Service At first sight, it would appear that this is a reasonably straightforward turntable. When paired with good speakers, the right album.... It should have been wonderful.<br /><br />The turntable is warped. We've tried to get technical support, to no avail. I'm stuck with a turntable that's literally junk. I wish that there was a way to return it, or to at least not have wasted my time and money on it.","{'type': 'review_evidence', 'brand': 'Audio-Technica', 'aspects': ['comfort', 'connectivity'], 'parent_asin': 'B07T3D8RXQ'}"
"Brand: LG
Aspects: build, comfort
Rating: 1.0
Importance Score: 14.47
Review: Switch broken after 2 months of normal wear After 2 months, the on/off switch broke, completely. Normal wear. Wasn't being rough with it. It just clicked, and it was broken when I was trying to turn it on. I am extremely disappointed with this item.","{'type': 'review_evidence', 'brand': 'LG', 'aspects': ['build', 'comfort'], 'parent_asin': 'B00D477YFA'}"
